"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
This file will replace the current custom.css file and can't be more than 2 MB.,This file will replace the current custom.css file and can't be more than 2 MB.,module,Magento_Theme
This theme is not editable.,سمة مظهر الواجهة هذه ليست قابلة للتعديل.,module,Magento_Theme
This will be displayed just before the body closing tag.,This will be displayed just before the body closing tag.,module,Magento_Theme
This will be included before head closing tag in page HTML.,This will be included before head closing tag in page HTML.,module,Magento_Theme
Title Prefix,Title Prefix,module,Magento_Theme
Title Suffix,Title Suffix,module,Magento_Theme
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:",module,Magento_Theme
Upload CSS File,Upload CSS File,module,Magento_Theme
Upload JS Files,Upload JS Files,module,Magento_Theme
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores.",module,Magento_Theme
View past orders,عرض الأوامر الماضية,module,Magento_Theme
We can't find file.,لا يمكننا إيجاد الملف.,module,Magento_Theme
We can't upload the CSS file right now.,We can't upload the CSS file right now.,module,Magento_Theme
We can't upload the JS file right now.,We can't upload the JS file right now.,module,Magento_Theme
We cannot delete the theme.,We cannot delete the theme.,module,Magento_Theme
We cannot find a directory with this name.,We cannot find a directory with this name.,module,Magento_Theme
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1"".",module,Magento_Theme
We cannot find the theme.,لم نتمكن من إيجاد سمة مظهر الواجهة.,module,Magento_Theme
"We cannot find theme ""%1"".","We cannot find theme ""%1"".",module,Magento_Theme
We could not detect a size.,لم نتمكن من الكشف عن الحجم.,module,Magento_Theme
We don't recognize this file extension.,We don't recognize this file extension.,module,Magento_Theme
We found a directory with the same name.,We found a directory with the same name.,module,Magento_Theme
welcome,مرحبا,module,Magento_Theme
Welcome Text,نص الترحيب,module,Magento_Theme
Welcome to %store_name.,مرحبا بك في %store_name.,module,Magento_Theme
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:",module,Magento_Theme
You deleted the theme.,قمت بحذف سمة وصف الواجهة.,module,Magento_Theme
You saved the theme.,You saved the theme.,module,Magento_Theme
Report All Bugs,أبلغ عن كل الأخطاء,module,Magento_Theme
Fonts Assets,أصول الخطوط,module,Magento_Theme
Images Assets,أصول الصور,module,Magento_Theme
You're currently reading page,أنت حاليا تقرأ الصفحة,module,Magento_Theme
Create Folder,أنشئ مجلد,module,Magento_Theme
Manage,إدارة,module,Magento_Theme
Remove,إزالة,module,Magento_Theme
Settings,إعدادات,module,Magento_Theme
Default,إفتراضي,module,Magento_Theme
Insert File,ادخال ملف,module,Magento_Theme
WK,اسبوع,module,Magento_Theme
localized exception,استثناء المترجمة,module,Magento_Theme
New Folder Name:,اسم مجلد جديد:,module,Magento_Theme
Go Today,الذهاب اليوم,module,Magento_Theme
Back,الى الخلف,module,Magento_Theme
Search Engine Robots,بحث Engine Robots,module,Magento_Theme
Toggle Nav,تبديل التنقل,module,Magento_Theme
Media Storage,تخزين الوسائط,module,Magento_Theme
Skip to Content,تخطى إلى المحتوى,module,Magento_Theme
label,تسمية,module,Magento_Theme
Test Label,تسمية الاختبار,module,Magento_Theme
Browse Files,تصفح الملفات,module,Magento_Theme
Edit,تعديل,module,Magento_Theme
Configuration,تكوين,module,Magento_Theme
Storage Root,جذر التخزين,module,Magento_Theme
Something went wrong while saving this configuration:,حدث خطأ ما أثناء حفظ هذا التكوين:,module,Magento_Theme
Delete Folder,حذف المجلد,module,Magento_Theme
Delete File,حذف الملف,module,Magento_Theme
Account,حساب,module,Magento_Theme
Save and Continue Edit,حفظ ومتابعة التعديل,module,Magento_Theme
Minute,دقيقة,module,Magento_Theme
Message,رسالة,module,Magento_Theme
Exception message,رسالة الاستثناء,module,Magento_Theme
testMessage,رسالة نصية,module,Magento_Theme
Upload Images,رفع الصور,module,Magento_Theme
Upload Fonts,رفع خطوط,module,Magento_Theme
Previous,سابق,module,Magento_Theme
Hour,ساعة,module,Magento_Theme
Help Us Keep Magento Healthy,ساعدنا على الحفاظ على ماجنتو سليم,module,Magento_Theme
Page,صفحة,module,Magento_Theme
General,عام,module,Magento_Theme
Phrase,عبارة,module,Magento_Theme
Store View,عرض المتجر,module,Magento_Theme
About the calendar,عن التقويم,module,Magento_Theme
Close,غلق,module,Magento_Theme
per page,في كل صفحة,module,Magento_Theme
Menu,قائمة,module,Magento_Theme
Next,قادم,module,Magento_Theme
We can't delete root directory %1 right now.,لا يمكننا حذف الدليل الجذر %1 في الوقت الحالي.,module,Magento_Theme
We can't upload the file right now.,لا يمكننا رفع الملف الآن.,module,Magento_Theme
You saved the configuration.,لقد حفظت التكوين,module,Magento_Theme
We found no files.,لم نعثر على أي ملفات.,module,Magento_Theme
Store,متجر,module,Magento_Theme
"Welcome, %1!","مرحبا, %1!",module,Magento_Theme
Website,موقع الكتروني,module,Magento_Theme
Copy,نسخ,module,Magento_Theme
Scope:,نطاق:,module,Magento_Theme
This is demo store. No orders will be fulfilled.,هذا متجر العرض. لم يتم تحقيق اي أوامر.,module,Magento_Theme
Are you sure you want to delete this folder?,هل أنت متأكد أنك تريد حذف هذا المجلد؟,module,Magento_Theme
Are you sure you want to delete this file?,هل أنت متأكد أنك تريد حذف هذا الملف؟,module,Magento_Theme
Time,وقت,module,Magento_Theme
Local Storage seems to be disabled in your browser.,يبدو أن التخزين المحلي في المتصفح الخاص بك معطل.,module,Magento_Theme
Translation files,  ملفات الترجمة,module,Magento_Translation
Dictionary (Translation on Storefront side),Dictionary (Translation on Storefront side),module,Magento_Translation
Embedded (Translation on Admin side),Embedded (Translation on Admin side),module,Magento_Translation
Translation Strategy,استراتيجية الترجمة,module,Magento_Translation
Translations,ترجمة,module,Magento_Translation
${ $.visible } out of ${ $.total } visible,${ $.visible } out of ${ $.total } visible,module,Magento_Ui
A positive or negative non-decimal number please,A positive or negative non-decimal number please,module,Magento_Ui
Add New %1,Add New %1,module,Magento_Ui
Assign,Assign,module,Magento_Ui
Attention,Attention,module,Magento_Ui
"Bookmark with id ""%1"" does not exist.","Bookmark with id ""%1"" does not exist.",module,Magento_Ui
"Condition type ""%1"" is not allowed","Condition type ""%1"" is not allowed",module,Magento_Ui
CSV,CSV,module,Magento_Ui
Empty Value.,قيمة فارغة,module,Magento_Ui
Excel XML,Excel XML,module,Magento_Ui
File you are trying to upload exceeds maximum file size limit.,File you are trying to upload exceeds maximum file size limit.,module,Magento_Ui
Filters,Filters,module,Magento_Ui
HTML tags are not allowed.,HTML tags are not allowed.,module,Magento_Ui
Invalid format.,Invalid format.,module,Magento_Ui
Invalid UI Component element name: '',Invalid UI Component element name: '',module,Magento_Ui
Invalid UI Component element name: '%1',Invalid UI Component element name: '%1',module,Magento_Ui
Letters only please,Letters only please,module,Magento_Ui
Letters or punctuation only please,Letters or punctuation only please,module,Magento_Ui
"Letters, numbers, spaces or underscores only please","Letters, numbers, spaces or underscores only please",module,Magento_Ui
Log JS Errors to Session Storage,Log JS Errors to Session Storage,module,Magento_Ui
Log JS Errors to Session Storage Key,Log JS Errors to Session Storage Key,module,Magento_Ui
New %1,New %1,module,Magento_Ui
No white space please,No white space please,module,Magento_Ui
of,of,module,Magento_Ui
"Parameter ""class"" must be present.","Parameter ""class"" must be present.",module,Magento_Ui
"Parameter ""sortOrder"" must be present.","Parameter ""sortOrder"" must be present.",module,Magento_Ui
Please enter {0} words or less.,Please enter {0} words or less.,module,Magento_Ui
Please enter 6 or more characters. Leading and trailing spaces will be ignored.,الرجاء إدخال 6 أحرف أو أكثر. سيتم تجاهل المسافات الزائدة.,module,Magento_Ui
"Please enter 7 or more characters, using both numeric and alphabetic.","Please enter 7 or more characters, using both numeric and alphabetic.",module,Magento_Ui
Please enter a correct date,برجاء إدخال تاريخ صحيح,module,Magento_Ui
Please enter a number 0 or greater in this field.,يرجى إدخال رقم 0 أو أكثر في هذا الحقل.,module,Magento_Ui
Please enter a number greater than 0 in this field.,الرجاء إدخال رقم أكبر من 0 في هذا الحقل.,module,Magento_Ui
Please enter a valid $ amount. For example $100.00.,الرجاء إدخال مبلغ $ صالح. على سبيل المثال $100.00.,module,Magento_Ui
Please enter a valid credit card number.,يرجى إدخال رقم بطاقة إئتمانية صالح.,module,Magento_Ui
Please enter a valid date.,برجاء إدخال تاريخ صالح.,module,Magento_Ui
Please enter a valid email address (Ex: johndoe@domain.com).,Please enter a valid email address (Ex: johndoe@domain.com).,module,Magento_Ui
Please enter a valid fax number (Ex: 123-456-7890).,Please enter a valid fax number (Ex: 123-456-7890).,module,Magento_Ui
Please enter a valid IP v4 address.,Please enter a valid IP v4 address.,module,Magento_Ui
Please enter a valid IP v6 address.,Please enter a valid IP v6 address.,module,Magento_Ui
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,module,Magento_Ui
Please enter a valid social security number (Ex: 123-45-6789).,Please enter a valid social security number (Ex: 123-45-6789).,module,Magento_Ui
"Please enter a valid time, between 00:00 am and 12:00 pm","Please enter a valid time, between 00:00 am and 12:00 pm",module,Magento_Ui
"Please enter a valid time, between 00:00 and 23:59","Please enter a valid time, between 00:00 and 23:59",module,Magento_Ui
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").",module,Magento_Ui
Please enter a valid URL. For example http://www.example.com or www.example.com.,Please enter a valid URL. For example http://www.example.com or www.example.com.,module,Magento_Ui
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Please enter a valid URL. Protocol is required (http://, https:// or ftp://).",module,Magento_Ui
"Please enter a valid value, ex: 10,20,30","Please enter a valid value, ex: 10,20,30",module,Magento_Ui
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Please enter a valid XML-identifier (Ex: something_1, block5, id-4).",module,Magento_Ui
Please enter a valid zip code (Ex: 90602 or 90602-1234).,Please enter a valid zip code (Ex: 90602 or 90602-1234).,module,Magento_Ui
Please enter a valid zip code.,Please enter a valid zip code.,module,Magento_Ui
Please enter a value greater than or equal to {0}.,Please enter a value greater than or equal to {0}.,module,Magento_Ui
Please enter a value less than or equal to {0}.,Please enter a value less than or equal to {0}.,module,Magento_Ui
Please enter at least {0} characters,Please enter at least {0} characters,module,Magento_Ui
Please enter at least {0} words.,Please enter at least {0} words.,module,Magento_Ui
Please enter between {0} and {1} words.,Please enter between {0} and {1} words.,module,Magento_Ui
Please enter issue number or start date for switch/solo card type.,Please enter issue number or start date for switch/solo card type.,module,Magento_Ui
Please enter less or equal than {0} symbols.,Please enter less or equal than {0} symbols.,module,Magento_Ui
Please enter more or equal than {0} symbols.,Please enter more or equal than {0} symbols.,module,Magento_Ui
Please enter positive number in this field.,Please enter positive number in this field.,module,Magento_Ui
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).",module,Magento_Ui
Please select an option.,Please select an option.,module,Magento_Ui
Please select item(s).,Please select item(s).,module,Magento_Ui
Please select State/Province.,Please select State/Province.,module,Magento_Ui
Please specify a valid mobile number,Please specify a valid mobile number,module,Magento_Ui
Please specify a valid phone number,Please specify a valid phone number,module,Magento_Ui
Please use letters only (a-z or A-Z) in this field.,Please use letters only (a-z or A-Z) in this field.,module,Magento_Ui
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,module,Magento_Ui
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.",module,Magento_Ui
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.",module,Magento_Ui
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.",module,Magento_Ui
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.",module,Magento_Ui
Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.,Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.,module,Magento_Ui
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",module,Magento_Ui
records found,records found,module,Magento_Ui
Remove %1,Remove %1,module,Magento_Ui
"The configuration parameter ""formElement"" is a required for ""%1"" field.","The configuration parameter ""formElement"" is a required for ""%1"" field.",module,Magento_Ui
The date is not within the specified range.,The date is not within the specified range.,module,Magento_Ui
The specified vehicle identification number (VIN) is invalid.,The specified vehicle identification number (VIN) is invalid.,module,Magento_Ui
The value is not within the specified range.,The value is not within the specified range.,module,Magento_Ui
This is a required field.,هذا الحقل مطلوب.,module,Magento_Ui
Unsupported bookmark action.,Unsupported bookmark action.,module,Magento_Ui
Vul hier een geldige datum in.,Vul hier een geldige datum in.,module,Magento_Ui
We don't recognize or support this file extension type.,لا نتعرف او ندعم نوع امتداد هذا الملف.,module,Magento_Ui
You have successfully saved your edits.,You have successfully saved your edits.,module,Magento_Ui
You haven't selected any items!,لم تقم بتحديد أي من البنود!,module,Magento_Ui
Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx,Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx,module,Magento_Ui
Add,أضف,module,Magento_Ui
Select Date,إختر التاريخ,module,Magento_Ui
Cancel,إلغاء,module,Magento_Ui
Deselect All on This Page,إلغاء تحديد الكل في هذه الصفحة,module,Magento_Ui
Off,إيقاف,module,Magento_Ui
Go to Details Page,الذهاب الى صفحة التفاصيل,module,Magento_Ui
Keyword,الكلمة,module,Magento_Ui
Back,الى الخلف,module,Magento_Ui
Search by keyword,بحث by keyword,module,Magento_Ui
Select All,تحديد الكل,module,Magento_Ui
Select All on This Page,تحديد الكل في هذه الصفحة,module,Magento_Ui
On,تشغيل,module,Magento_Ui
Done,تم,module,Magento_Ui
Changes have been made to this section that have not been saved.,تم إجراء تغييرات في هذا المقطع الذي لم يتم حفظها.,module,Magento_Ui
Something went wrong.,حدث خطأ ما.,module,Magento_Ui
Select...,حدد...,module,Magento_Ui
OK,حسنا,module,Magento_Ui
Ok,حسنا,module,Magento_Ui
Options,خيارات,module,Magento_Ui
options,خيارات,module,Magento_Ui
Deselect All,عدم تحديد الكل,module,Magento_Ui
Default View,عرض إفتراضي,module,Magento_Ui
New View,عرض جديد,module,Magento_Ui
Action,عمل,module,Magento_Ui
Close,غلق,module,Magento_Ui
Next,قادم,module,Magento_Ui
No,لا,module,Magento_Ui
selected,محددة,module,Magento_Ui
Selected,محددة,module,Magento_Ui
Yes,نعم,module,Magento_Ui
This tab contains invalid data. Please resolve this before saving.,هذا التبويب يحتوي على بيانات غير صالحة. الرجاء حل هذا قبل الحفظ.,module,Magento_Ui
Please enter a valid number in this field.,يرجى إدخال رقم صحيح في هذا الحقل.,module,Magento_Ui
 6-character UPS, 6-character UPS,module,Magento_Ups
Required for negotiated rates,Required for negotiated rates,module,Magento_Ups
 is required., مطلوب.,module,Magento_Ups
Calculate Handling Fee, حساب رسوم المعالجة,module,Magento_Ups
2nd Day Air,2nd Day Air,module,Magento_Ups
2nd Day Air AM,2nd Day Air AM,module,Magento_Ups
2nd Day Air AM Letter,2nd Day Air AM Letter,module,Magento_Ups
2nd Day Air Letter,2nd Day Air Letter,module,Magento_Ups
3 Day Select,3 Day Select,module,Magento_Ups
Access License Number,Access License Number,module,Magento_Ups
Adult Signature Required,Adult Signature Required,module,Magento_Ups
Canada Standard,Canada Standard,module,Magento_Ups
Cannot retrieve shipping rates,Cannot retrieve shipping rates,module,Magento_Ups
Customer Packaging,Customer Packaging,module,Magento_Ups
Customer Supplied Package,Customer Supplied Package,module,Magento_Ups
Delivery Confirmation,Delivery Confirmation,module,Magento_Ups
Enable Negotiated Rates,Enable Negotiated Rates,module,Magento_Ups
Enabled for Checkout,Enabled for Checkout,module,Magento_Ups
error_message,error_message,module,Magento_Ups
Field ,Field ,module,Magento_Ups
Gateway XML URL,Gateway XML URL,module,Magento_Ups
Ground Commercial,Ground Commercial,module,Magento_Ups
Ground Residential,Ground Residential,module,Magento_Ups
Large Express Box,Large Express Box,module,Magento_Ups
Medium Express Box,Medium Express Box,module,Magento_Ups
Next Day Air,Next Day Air,module,Magento_Ups
Next Day Air Early AM,Next Day Air Early AM,module,Magento_Ups
Next Day Air Early AM Letter,Next Day Air Early AM Letter,module,Magento_Ups
Next Day Air Intra (Puerto Rico),Next Day Air Intra (Puerto Rico),module,Magento_Ups
Next Day Air Letter,Next Day Air Letter,module,Magento_Ups
Next Day Air Saver,Next Day Air Saver,module,Magento_Ups
Next Day Air Saver Letter,Next Day Air Saver Letter,module,Magento_Ups
Origin of the Shipment,Origin of the Shipment,module,Magento_Ups
PAK,PAK,module,Magento_Ups
Pallet,Pallet,module,Magento_Ups
Shipper Number,Shipper Number,module,Magento_Ups
Signature Required,Signature Required,module,Magento_Ups
Small Express Box,Small Express Box,module,Magento_Ups
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, something went wrong. Please try again or contact us and we'll try to help.",module,Magento_Ups
This enables or disables SSL verification of the Magento server by UPS.,This enables or disables SSL verification of the Magento server by UPS.,module,Magento_Ups
Tracking XML URL,Tracking XML URL,module,Magento_Ups
United Parcel Service,United Parcel Service,module,Magento_Ups
United Parcel Service XML,United Parcel Service XML,module,Magento_Ups
UPS,UPS,module,Magento_Ups
UPS Expedited,UPS Expedited,module,Magento_Ups
UPS Express,UPS Express,module,Magento_Ups
UPS Express Box,UPS Express Box,module,Magento_Ups
UPS Express Early A.M.,UPS Express Early A.M.,module,Magento_Ups
UPS Express Plus,UPS Express Plus,module,Magento_Ups
UPS Ground,UPS Ground,module,Magento_Ups
UPS Letter Envelope,UPS Letter Envelope,module,Magento_Ups
UPS Next Day Air,UPS Next Day Air,module,Magento_Ups
UPS Next Day Air Early A.M.,UPS Next Day Air Early A.M.,module,Magento_Ups
UPS Next Day Air Saver,UPS Next Day Air Saver,module,Magento_Ups
UPS Second Day Air,UPS Second Day Air,module,Magento_Ups
UPS Second Day Air A.M.,UPS Second Day Air A.M.,module,Magento_Ups
UPS Standard,UPS Standard,module,Magento_Ups
UPS Three-Day Select,UPS Three-Day Select,module,Magento_Ups
UPS Today Dedicated Courrier,UPS Today Dedicated Courrier,module,Magento_Ups
UPS Today Express,UPS Today Express,module,Magento_Ups
UPS Today Express Saver,UPS Today Express Saver,module,Magento_Ups
UPS Today Intercity,UPS Today Intercity,module,Magento_Ups
UPS Today Standard,UPS Today Standard,module,Magento_Ups
UPS Tube,UPS Tube,module,Magento_Ups
UPS Type,UPS Type,module,Magento_Ups
UPS Worldwide 10 kilo,UPS Worldwide 10 kilo,module,Magento_Ups
UPS Worldwide 25 kilo,UPS Worldwide 25 kilo,module,Magento_Ups
UPS Worldwide Expedited,UPS Worldwide Expedited,module,Magento_Ups
UPS Worldwide Express,UPS Worldwide Express,module,Magento_Ups
UPS Worldwide Express Plus,UPS Worldwide Express Plus,module,Magento_Ups
UPS Worldwide Express PlusSM,UPS Worldwide Express PlusSM,module,Magento_Ups
UPS Worldwide Saver,UPS Worldwide Saver,module,Magento_Ups
"We can't convert a rate from ""%1-%2"".","We can't convert a rate from ""%1-%2"".",module,Magento_Ups
Worldwide Expedited,Worldwide Expedited,module,Magento_Ups
Worldwide Express,Worldwide Express,module,Magento_Ups
Worldwide Express Letter,Worldwide Express Letter,module,Magento_Ups
Worldwide Express Plus,Worldwide Express Plus,module,Magento_Ups
Worldwide Express Plus Letter,Worldwide Express Plus Letter,module,Magento_Ups
Worldwide Express Saver,Worldwide Express Saver,module,Magento_Ups
Ground,أرض,module,Magento_Ups
Show Method if Not Applicable,إظهار الطريقة إذا كان غير مسموح,module,Magento_Ups
Displayed Error Message,إظهار رسالة الخطأ,module,Magento_Ups
Empty response,استجابة فارغة,module,Magento_Ups
Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight),الحد الأدنى لوزن الحزمة (يرجى الرجوع إلى ناقل الشحن للحصول على أدنى دعم لوزن الشحن),module,Magento_Ups
Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight),الحد الأقصى لوزن الحزمة (يرجى الرجوع إلى ناقل الشحن للحصول على أقصى دعم لوزن الشحن),module,Magento_Ups
Ship to Specific Countries,الشحن لبلدان معينة,module,Magento_Ups
Ship to Applicable Countries,الشحن للبلدان المسموحة,module,Magento_Ups
Allowed Methods,الطرق المسموحة,module,Magento_Ups
Free Method,الطريقة المجانية,module,Magento_Ups
Handling Applied,المعالجة المطبقة,module,Magento_Ups
Sort Order,امر الترتيب,module,Magento_Ups
Commercial,تجاري,module,Magento_Ups
label,تسمية,module,Magento_Ups
User ID,تعريف المستخدم,module,Magento_Ups
UPS Saver,حافظ الUPS,module,Magento_Ups
status,حالة,module,Magento_Ups
Container,حاوية,module,Magento_Ups
Free Shipping Amount Threshold,حد كمية الشحن المجاني,module,Magento_Ups
Packages Request Type,حزم نوع الطلب,module,Magento_Ups
Live Account,حساب حقيقي,module,Magento_Ups
Gateway URL,رابط البوابة,module,Magento_Ups
Handling Fee,رسوم المعالجة,module,Magento_Ups
Pounds,رطل,module,Magento_Ups
Residential,سكني,module,Magento_Ups
Mode,طريقة,module,Magento_Ups
Pickup Method,طريقة الإلتقاط,module,Magento_Ups
Debug,عالج,module,Magento_Ups
Title,عنوان,module,Magento_Ups
Not Required,غير مطلوب,module,Magento_Ups
Kilograms,كجم,module,Magento_Ups
Password,كلمه السر,module,Magento_Ups
None,لا شىء,module,Magento_Ups
Destination Type,نوع الوجهة,module,Magento_Ups
Weight Unit,وحدة الوزن,module,Magento_Ups
Add New URL Rewrite,Add New URL Rewrite,module,Magento_UrlRewrite
Add URL Rewrite,Add URL Rewrite,module,Magento_UrlRewrite
Add URL Rewrite for a Category,Add URL Rewrite for a Category,module,Magento_UrlRewrite
Add URL Rewrite for a Product,Add URL Rewrite for a Product,module,Magento_UrlRewrite
Add URL Rewrite for CMS page,Add URL Rewrite for CMS page,module,Magento_UrlRewrite
Anchor symbol (#) is not supported in request path.,Anchor symbol (#) is not supported in request path.,module,Magento_UrlRewrite
Anchor symbol (#) is not supported in url rewrite suffix.,Anchor symbol (#) is not supported in url rewrite suffix.,module,Magento_UrlRewrite
CMS page:,CMS page:,module,Magento_UrlRewrite
Create URL Rewrite:,Create URL Rewrite:,module,Magento_UrlRewrite
Custom storage message,Custom storage message,module,Magento_UrlRewrite
Do not use two or more consecutive slashes in the request path.,Do not use two or more consecutive slashes in the request path.,module,Magento_UrlRewrite
Do not use two or more consecutive slashes in the url rewrite suffix.,Do not use two or more consecutive slashes in the url rewrite suffix.,module,Magento_UrlRewrite
Edit URL Rewrite,Edit URL Rewrite,module,Magento_UrlRewrite
Edit URL Rewrite for a Category,Edit URL Rewrite for a Category,module,Magento_UrlRewrite
Edit URL Rewrite for a Product,Edit URL Rewrite for a Product,module,Magento_UrlRewrite
Edit URL Rewrite for CMS page,Edit URL Rewrite for CMS page,module,Magento_UrlRewrite
For category,For category,module,Magento_UrlRewrite
For CMS page,For CMS page,module,Magento_UrlRewrite
For product,For product,module,Magento_UrlRewrite
Permanent (301),Permanent (301),module,Magento_UrlRewrite
Please assign a website to the selected category.,Please assign a website to the selected category.,module,Magento_UrlRewrite
Please assign a website to the selected CMS page.,Please assign a website to the selected CMS page.,module,Magento_UrlRewrite
Redirect Type,Redirect Type,module,Magento_UrlRewrite
Request Path,Request Path,module,Magento_UrlRewrite
Request Path for Specified Store,Request Path for Specified Store,module,Magento_UrlRewrite
Select Category,Select Category,module,Magento_UrlRewrite
Skip Category Selection,Skip Category Selection,module,Magento_UrlRewrite
SKU,SKU,module,Magento_UrlRewrite
Something went wrong while saving URL Rewrite.,Something went wrong while saving URL Rewrite.,module,Magento_UrlRewrite
Target Path,Target Path,module,Magento_UrlRewrite
Temporary (302),Temporary (302),module,Magento_UrlRewrite
The category you chose is not associated with the selected store.,The category you chose is not associated with the selected store.,module,Magento_UrlRewrite
The product you chose is not associated with the selected store or category.,The product you chose is not associated with the selected store or category.,module,Magento_UrlRewrite
The URL Rewrite has been saved.,The URL Rewrite has been saved.,module,Magento_UrlRewrite
URL key for specified store already exists.,URL key for specified store already exists.,module,Magento_UrlRewrite
URL Rewrite Management,URL Rewrite Management,module,Magento_UrlRewrite
URL Rewrites,URL Rewrites,module,Magento_UrlRewrite
We can't delete URL Rewrite right now.,We can't delete URL Rewrite right now.,module,Magento_UrlRewrite
We can't set up a URL rewrite because the product you chose is not associated with a website.,We can't set up a URL rewrite because the product you chose is not associated with a website.,module,Magento_UrlRewrite
You deleted the URL rewrite.,You deleted the URL rewrite.,module,Magento_UrlRewrite
Reset,إعادة تعيين,module,Magento_UrlRewrite
URL Rewrite Information,إعادة كتابة معلومات الرابط,module,Magento_UrlRewrite
Name,اسم,module,Magento_UrlRewrite
Back,الى الخلف,module,Magento_UrlRewrite
Edit,تعديل,module,Magento_UrlRewrite
ID,تعريف,module,Magento_UrlRewrite
Status,حالة,module,Magento_UrlRewrite
Delete,حذف,module,Magento_UrlRewrite
Save,حفظ,module,Magento_UrlRewrite
Store View,عرض المتجر,module,Magento_UrlRewrite
Action,عمل,module,Magento_UrlRewrite
Title,عنوان,module,Magento_UrlRewrite
Category:,فئة:,module,Magento_UrlRewrite
No,لا,module,Magento_UrlRewrite
Store,متجر,module,Magento_UrlRewrite
Custom,مخصص,module,Magento_UrlRewrite
Block Information,معلومات البلوك,module,Magento_UrlRewrite
URL Key,مفتاح الرابط,module,Magento_UrlRewrite
Product:,منتج:,module,Magento_UrlRewrite
Are you sure you want to do this?,هل أنت متأكد أنك تريد أن تفعل هذا؟,module,Magento_UrlRewrite
Description,وصف,module,Magento_UrlRewrite
Your password has expired,Your password has expired,module,Magento_User
 please contact your administrator., please contact your administrator.,module,Magento_User
"%name,","%name,",module,Magento_User
A user with the same user name or email already exists.,A user with the same user name or email already exists.,module,Magento_User
Account Status,Account Status,module,Magento_User
Active,Active,module,Magento_User
Add New Role,Add New Role,module,Magento_User
Add New User,Add New User,module,Magento_User
All Users,All Users,module,Magento_User
An error occurred while deleting this role.,An error occurred while deleting this role.,module,Magento_User
An error occurred while saving this role.,An error occurred while saving this role.,module,Magento_User
Are you sure you want to revoke the user's tokens?,Are you sure you want to revoke the user's tokens?,module,Magento_User
Assigned,Assigned,module,Magento_User
Delete Role,Delete Role,module,Magento_User
Delete User,Delete User,module,Magento_User
Edit Role,تعديل القاعدة,module,Magento_User
Edit User,تعديل المستخدم,module,Magento_User
Edit User '%1',Edit User '%1',module,Magento_User
Email address,عنوان البريد الإلكتروني,module,Magento_User
Enter your email address.  You will receive an email with a link to reset your password.,Enter your email address.  You will receive an email with a link to reset your password.,module,Magento_User
Failures,Failures,module,Magento_User
First Name is a required field.,First Name is a required field.,module,Magento_User
Forced,Forced,module,Magento_User
"Hello,","Hello,",module,Magento_User
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same.",module,Magento_User
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email",module,Magento_User
"If you requested this change, reset your password here:","If you requested this change, reset your password here:",module,Magento_User
